,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,corrected_lons,long_rad,lat_rad,ocean_depth
112,2012-02-02T13:34:40.650Z,-17.827,167.133,23.0,7.1,mww,573.0,12.0,,1.07,us,usp000jeag,2022-05-03T15:33:15.191Z,"125 km W of Port-Vila, Vanuatu",earthquake,,,,,reviewed,us,us,167.133,2.9170211387356826,-0.31113984575302917,5147.53564453125
114,2011-09-15T19:31:04.080Z,-21.611,-179.528,644.6,7.3,mww,646.0,22.2,,1.06,us,usp000j83e,2022-04-08T22:04:57.338Z,Fiji region,earthquake,,,,,reviewed,us,us,180.472,3.1498306076592066,-0.3771831046484946,2001.1199951171875
117,2011-08-20T18:19:23.550Z,-18.311,168.218,28.0,7.1,mww,564.0,12.3,,1.07,us,usp000j6rj,2022-04-08T22:20:47.603Z,"64 km S of Port-Vila, Vanuatu",earthquake,,,,,reviewed,us,us,168.218,2.9359579611198208,-0.3195872393326817,1867.095703125
118,2011-08-20T16:55:02.810Z,-18.365,168.143,32.0,7.2,mww,280.0,18.4,,1.26,us,usp000j6r4,2022-04-08T21:59:44.948Z,"71 km SSW of Port-Vila, Vanuatu",earthquake,,,,,reviewed,us,us,168.143,2.9346489641808255,-0.3205297171287586,1867.095703125
119,2011-07-10T00:57:10.800Z,38.034,143.264,23.0,7.0,mww,531.0,12.4,,1.04,us,usp000j4gp,2022-09-06T12:45:53.236Z,"177 km ESE of Ishinomaki, Japan",earthquake,,,,,reviewed,us,us,143.264,2.5004284995771564,0.6638185277035232,3177.12158203125
122,2011-03-11T06:25:50.300Z,38.058,144.59,18.6,7.7,mwc,507.0,10.8,,0.85,us,usp000hvpg,2022-07-19T08:04:51.126Z,"272 km ESE of Kamaishi, Japan",earthquake,,8.0,,,reviewed,us,us,144.59,2.523571565458601,0.6642374067240019,5716.3095703125
125,2011-03-09T02:45:20.330Z,38.435,142.842,32.0,7.3,mww,550.0,17.4,,0.98,us,usp000hvhj,2022-07-19T07:40:29.766Z,"120 km SE of ?funato, Japan",earthquake,,,,,reviewed,us,us,142.842,2.4930632101337404,0.6708172980040206,1441.896240234375
126,2011-01-13T16:16:41.540Z,-20.628,168.471,9.0,7.0,mww,578.0,13.3,,0.99,us,usp000ht15,2022-07-19T02:16:12.012Z,"118 km NNE of Tadine, New Caledonia",earthquake,,,,,reviewed,us,us,168.471,2.9403736441273667,-0.3600265181013903,6006.326171875
127,2010-12-25T13:16:37.000Z,-19.702,167.947,16.0,7.3,mwc,409.0,12.0,,1.17,us,usp000hrw0,2022-05-02T22:31:14.248Z,"141 km W of Isangel, Vanuatu",earthquake,,,,,reviewed,us,us,167.947,2.9312281188469167,-0.3438647692279228,5304.10693359375
128,2010-12-21T17:19:40.660Z,26.901,143.698,14.0,7.4,mwc,603.0,13.0,,0.99,us,usp000hr97,2022-07-19T01:39:35.861Z,"Bonin Islands, Japan region",earthquake,,,,,reviewed,us,us,143.698,2.5080032285308116,0.46951102207899453,5731.15185546875
129,2010-09-29T17:11:25.940Z,-4.963,133.76,26.0,7.0,mwc,271.0,15.1,,1.31,us,usp000hmbq,2022-07-18T21:03:22.228Z,"Near the south coast of Papua, Indonesia",earthquake,,,,,reviewed,us,us,133.76,2.3345524074676147,-0.08662069077647858,3181.727294921875
133,2010-07-23T23:15:10.190Z,6.776,123.259,640.6,7.5,mwc,441.0,17.5,,0.82,us,usp000hgmq,2022-07-18T17:02:13.829Z,"72 km S of Panubigan, Philippines",earthquake,,,,,reviewed,us,gcmt,123.259,2.1512753827156907,0.11826351011513578,3733.03759765625
134,2010-07-23T22:51:11.840Z,6.497,123.48,578.0,7.6,mwc,340.0,15.1,,0.91,us,usp000hgmh,2022-07-18T17:00:38.641Z,"61 km W of Bantogon, Philippines",earthquake,,,,,reviewed,us,us,123.48,2.155132560362598,0.1133940415020716,3959.422119140625
135,2010-07-23T22:08:11.250Z,6.718,123.409,607.1,7.3,mwc,491.0,16.5,,0.91,us,usp000hgmd,2022-07-18T16:59:03.556Z,"68 km W of Gadung, Philippines",earthquake,,,,,reviewed,us,us,123.409,2.153893376593682,0.11725121914897904,3959.422119140625
138,2010-05-27T17:14:46.570Z,-13.698,166.643,31.0,7.2,mwc,327.0,11.7,,1.08,us,usp000hd84,2022-07-16T14:23:38.241Z,"100 km WNW of Sola, Vanuatu",earthquake,,,,,reviewed,us,gcmt,166.643,2.9084690254009105,-0.23907520093818324,3821.005615234375
140,2010-02-26T20:31:26.970Z,25.93,128.425,25.0,7.0,mwc,487.0,15.7,,1.05,us,usp000h7qu,2022-07-16T03:26:49.601Z,"70 km SE of Katsuren-haebaru, Japan",earthquake,,,,,reviewed,us,us,128.425,2.241439091873718,0.45256387504212964,3152.459716796875
142,2010-01-03T22:36:25.640Z,-8.783,157.354,10.0,7.1,mwc,377.0,15.0,,1.09,us,usp000h5np,2022-07-15T23:41:25.560Z,"94 km SE of Gizo, Solomon Islands",earthquake,,,,,reviewed,us,gcmt,157.354,2.7463453911831577,-0.15329226820266195,1166.8544921875
144,2009-10-07T23:13:48.160Z,-13.093,166.497,31.1,7.4,mwc,314.0,20.2,,0.96,us,usp000h2gr,2022-05-02T22:35:04.822Z,"143 km NW of Sola, Vanuatu",earthquake,,2.4,,,reviewed,us,gcmt,166.497,2.905920844692999,-0.22851595896361757,1934.367431640625
145,2009-10-07T22:18:51.240Z,-12.517,166.382,35.0,7.8,mwc,195.0,20.3,,0.97,us,usp000h2gd,2022-05-02T21:29:39.820Z,"196 km NW of Sola, Vanuatu",earthquake,,,,,reviewed,us,us,166.382,2.903913716053206,-0.21846286247213023,4125.06884765625
146,2009-10-07T22:03:14.470Z,-13.006,166.51,45.0,7.7,mww,283.0,23.2,,1.31,us,usp000h2g9,2022-07-15T18:45:47.803Z,"148 km NW of Sola, Vanuatu",earthquake,,,,,reviewed,us,us,166.51,2.9061477374957576,-0.2269975225143825,1934.367431640625
147,2009-09-29T17:48:10.990Z,-15.489,-172.095,18.0,8.1,mwc,520.0,20.8,,1.01,us,usp000h1ys,2022-07-15T18:20:44.470Z,"168 km SSW of Matavai, Samoa",earthquake,,,,,reviewed,us,gcmt,187.905,3.279560930959945,-0.2703340478414017,5238.2509765625
148,2009-08-09T10:55:55.110Z,33.167,137.944,292.0,7.1,mwc,447.0,14.2,,0.91,us,usp000h04j,2022-07-15T15:30:17.690Z,"161 km S of ?yama, Japan",earthquake,,,,,reviewed,us,us,137.944,2.4075769833710576,0.5788733530089594,3790.81689453125
149,2009-05-28T08:24:46.560Z,16.731,-86.217,19.0,7.3,mwc,464.0,27.2,,1.12,us,usp000gxkj,2022-08-13T04:20:21.703Z,"46 km NW of Guanaja, Honduras",earthquake,,,,,reviewed,us,gcmt,273.783,4.778414785987636,0.29201103715117127,2863.7158203125
150,2009-02-11T17:34:50.490Z,3.886,126.387,20.0,7.2,mwc,432.0,18.6,,1.14,us,usp000gtnc,2022-07-15T02:28:01.779Z,"196 km SSE of Sarangani, Philippines",earthquake,,,,,reviewed,us,us,126.387,2.205869281718073,0.06782349473249966,2545.9033203125
151,2009-01-15T17:49:39.070Z,46.857,155.154,36.0,7.4,mwc,522.0,15.6,,0.91,us,usp000gsmz,2022-07-15T03:19:57.452Z,east of the Kuril Islands,earthquake,,,,,reviewed,us,us,155.154,2.7079481476392817,0.817808927606983,6745.07421875
152,2009-01-03T22:33:40.290Z,-0.691,133.305,23.0,7.4,mwc,314.0,21.1,,1.03,us,usp000gs3t,2022-07-15T03:35:33.365Z,"86 km WNW of Manokwari, Indonesia",earthquake,,,,,reviewed,us,gcmt,133.305,2.326611159371041,-0.012060225131280817,1239.1087646484375
157,2008-04-09T12:46:12.720Z,-20.071,168.892,33.0,7.3,mwc,486.0,13.4,,1.29,us,usp000g3eq,2022-05-02T20:30:37.983Z,"71 km SW of Isangel, Vanuatu",earthquake,,,,,reviewed,us,us,168.892,2.947721480278263,-0.3503050341677819,3425.45703125
160,2007-10-31T03:30:15.960Z,18.9,145.388,207.0,7.2,mwb,461.0,19.4,,1.09,us,usp000frnh,2022-07-13T02:39:44.251Z,"Pagan region, Northern Mariana Islands",earthquake,,,,,reviewed,us,us,145.388,2.537499292889516,0.32986722862692824,2779.035400390625
161,2007-09-28T13:38:57.880Z,22.013,142.668,260.0,7.5,mwc,558.0,11.8,,0.97,us,usp000fpca,2022-07-14T02:30:19.087Z,"Volcano Islands, Japan region",earthquake,,,,,reviewed,us,gcmt,142.668,2.4900263372352702,0.38419932824151176,3573.87744140625
162,2007-09-02T01:05:18.150Z,-11.61,165.762,35.0,7.2,mwc,312.0,21.3,,1.31,us,usp000fm6b,2022-05-02T20:33:09.345Z,"97 km S of Lata, Solomon Islands",earthquake,,,,,reviewed,us,gcmt,165.762,2.8930926746908407,-0.20263272615654165,5964.0146484375
164,2007-08-01T17:08:51.400Z,-15.595,167.68,120.0,7.2,mwb,494.0,20.4,,1.14,us,usp000fhm9,2022-07-14T05:15:54.830Z,"56 km E of Luganville, Vanuatu",earthquake,,,,,reviewed,us,us,167.68,2.9265680897440918,-0.2721840968485157,1728.3309326171875
166,2007-03-25T00:40:01.610Z,-20.617,169.357,34.0,7.1,mwb,426.0,25.3,,1.0,us,usp000f7b4,2022-07-14T07:13:27.595Z,"119 km S of Isangel, Vanuatu",earthquake,,,,,reviewed,us,us,169.357,2.9558372613000365,-0.359834531883671,2219.22314453125
167,2007-01-21T11:27:45.060Z,1.065,126.282,22.0,7.5,mwc,570.0,21.6,,1.22,us,usp000f34b,2022-07-14T08:08:59.870Z,"126 km WNW of Ternate, Indonesia",earthquake,,,,,reviewed,us,gcmt,126.282,2.2040366860034792,0.01858775653373961,1738.850341796875
